id,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,host_response_time,host_response_rate,host_is_superhost,number_of_reviews,review_scores_rating,neighbourhood_group_cleansed,longitude,latitude,property_type,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,geometry
46172,2,1.0,1,48,50,500,0,1,3.927353417,44.0,t,2.0,100.0,1,38,98.0,Mitte,13.4053649,52.53808976,2,1,Real Bed,60,1,f,POINT (13.40536489911275 52.53808976175011)
47938,6,2.0,2,160,50,0,0,1,3.438960565,150.0,t,0.0,100.0,1,35,100.0,Pankow,13.41987525,52.53219076,0,1,Real Bed,3,1,f,POINT (13.41987524532209 52.53219075931284)
48955,2,1.0,1,70,0,0,0,1,3.890441904,55.50810782,t,NaN,NaN,1,0,NaN,Pankow,13.42081278,52.53626706,0,1,Real Bed,4,1,f,POINT (13.42081278354941 52.53626706277856)
52734,2,1.0,1,88,45,0,15,2,3.714845864,110.0,t,NaN,NaN,1,5,100.0,Friedrichshain-Kreuzberg,13.45727807,52.51120881,0,1,Real Bed,5,1,f,POINT (13.45727807195997 52.51120880705793)
54952,2,1.0,1,55,10,90,10,1,2.577508617,100.0,t,NaN,NaN,0,156,93.0,Mitte,13.38740637,52.52359308,0,0,Real Bed,4,1,f,POINT (13.38740636666804 52.52359308009272)
55455,2,1.0,1,90,25,0,0,1,2.04649685,30.0,t,NaN,NaN,1,1,100.0,Mitte,13.40608327,52.52114536,0,1,Real Bed,2,1,f,POINT (13.40608326685905 52.52114536229605)
55853,2,1.0,1,55,100,500,10,1,7.590761057,69.47465022,t,NaN,NaN,1,11,95.0,Charlottenburg-Wilm.,13.29202553,52.50340301,0,1,Real Bed,60,1,f,POINT (13.29202552706621 52.50340301169886)
57049,5,2.0,2,200,60,1500,20,4,5.013790225,130.0,t,1.0,100.0,0,81,98.0,Pankow,13.40416737,52.54786784,0,1,Real Bed,3,1,f,POINT (13.40416737243234 52.54786783506768)
57209,5,1.0,2,80,75,250,15,2,3.802855998,50.0,t,0.0,100.0,1,160,92.0,Mitte,13.39896651,52.53683096,0,1,Real Bed,3,0,f,POINT (13.39896650795053 52.53683096273127)
57792,1,1.0,1,49,50,1200,10,1,10.03916626,10.0,t,NaN,NaN,1,3,100.0,Steglitz - Zehlendorf,13.32806161,52.42530983,3,1,Real Bed,2,0,f,POINT (13.3280616113794 52.42530982912259)
